"y, m","vx_N, K","vx_A, K",Abs Difference,,,
0.4875,9.75E-05,9.75E-05,0.00E+00,,u_w,0.0001
0.4625,9.25E-05,9.25E-05,0.00E+00,,H,0.5
0.4375,8.75E-05,8.75E-05,0.00E+00,,,
0.4125,8.25E-05,8.25E-05,0.00E+00,,,
0.3875,7.75E-05,7.75E-05,0.00E+00,,,
0.3625,7.25E-05,7.25E-05,0.00E+00,,,
0.3375,6.75E-05,6.75E-05,0.00E+00,,,
0.3125,6.25E-05,6.25E-05,0.00E+00,,,
0.2875,5.75E-05,5.75E-05,0.00E+00,,,
0.2625,5.25E-05,5.25E-05,0.00E+00,,,
0.2375,4.75E-05,4.75E-05,0.00E+00,,,
0.2125,4.25E-05,4.25E-05,0.00E+00,,,
0.1875,3.75E-05,3.75E-05,0.00E+00,,,
0.1625,3.25E-05,3.25E-05,0.00E+00,,,
0.1375,2.75E-05,2.75E-05,0.00E+00,,,
0.1125,2.25E-05,2.25E-05,0.00E+00,,,
0.0875,1.75E-05,1.75E-05,0.00E+00,,,
0.0625,1.25E-05,1.25E-05,0.00E+00,,,
0.0375,7.50E-06,7.50E-06,0.00E+00,,,
0.0125,2.50E-06,2.50E-06,0.00E+00,,,
