"drag-force-on-square-rfile"
"Iteration" "drag-force-on-square"
("Iteration" "drag-force-on-square")
1 0.0005177266386888005
2 0.0002886578433101088
3 0.0001645294609855133
4 0.0001015758238483758
5 6.931741860236569e-05
6 5.263795146729073e-05
7 4.39746506427933e-05
8 3.94484652145642e-05
9 3.704401077913561e-05
10 3.574793470162275e-05
11 3.503406015227172e-05
12 3.462478224163863e-05
13 3.438197561930756e-05
14 3.423429204806729e-05
15 3.414345965072752e-05
16 3.408577506383232e-05
17 3.40466267850375e-05
18 3.4018992083665e-05
19 3.39991998695829e-05
20 3.39846205694547e-05
21 3.397372195984874e-05
22 3.39654884090128e-05
23 3.395921926890444e-05
24 3.39544179321818e-05
25 3.395072585668553e-05
26 3.394787703406897e-05
27 3.394567379022821e-05
28 3.394396717195182e-05
29 3.394264385586967e-05
30 3.394161705566163e-05
31 3.394081999600855e-05
32 3.394020123488066e-05
33 3.39397208991003e-05
34 3.393934807394535e-05
35 3.393905874714711e-05
36 3.393883425986129e-05
37 3.393866011684733e-05
38 3.393852505356644e-05
39 3.393842031786587e-05
40 3.393833911269082e-05
41 3.39382761616165e-05
42 3.393822736642601e-05
43 3.393818954927932e-05
44 3.393816023895901e-05
45 3.393813751754269e-05
46 3.393811990162511e-05
47 3.393810624312476e-05
48 3.39380956525676e-05
49 3.393808744054881e-05
50 3.393808107266234e-05
51 3.393807613466059e-05
