"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
1 0.0002601254588216915
2 0.0001531275215760184
3 9.555111516413237e-05
4 6.612012082204808e-05
5 5.093296500282986e-05
6 4.298736817268844e-05
7 3.872589377034036e-05
8 3.640813666860901e-05
9 3.5126857418725e-05
10 3.43892750252566e-05
11 3.395113686877977e-05
12 3.368269242187348e-05
13 3.35126621208434e-05
14 3.3400893339824e-05
15 3.332539947257879e-05
16 3.327294598008019e-05
17 3.323561254480697e-05
18 3.320852714138708e-05
19 3.318858269481365e-05
20 3.31737167237261e-05
21 3.31625647386846e-05
22 3.315416015329451e-05
23 3.314778795639833e-05
24 3.31429246891295e-05
25 3.313922650535535e-05
26 3.313641823539072e-05
27 3.313428225983337e-05
28 3.313265686561523e-05
29 3.313141899910471e-05
30 3.313047674189679e-05
31 3.312976004156759e-05
32 3.312921501220942e-05
33 3.312879715711908e-05
34 3.312848089380205e-05
35 3.312824244834222e-05
36 3.3128062564896e-05
37 3.312792663321479e-05
38 3.312782514445706e-05
39 3.312774838816606e-05
40 3.312769000041508e-05
41 3.312764516962275e-05
42 3.312761126166175e-05
43 3.312758615688712e-05
44 3.312756733004671e-05
45 3.312755309028115e-05
46 3.312754230727711e-05
47 3.312753414149691e-05
48 3.312752796708931e-05
49 3.312752330878577e-05
50 3.312751980110967e-05
51 3.312751716232052e-05
52 3.312751517670165e-05
