[Name]
Series 1 at Line 1

[Data]
X [ m ],Velocity u [ m s^-1 ]
9.99999978e-03, 0.00000000e+00
1.19196968e-02, -8.68696196e-04
1.38393939e-02, -1.83048868e-03
1.57590900e-02, -2.39583314e-03
1.76787861e-02, -2.59828661e-03
1.95984822e-02, -2.47647148e-03
2.15181783e-02, -2.17388174e-03
2.34378744e-02, -1.74581551e-03
2.53575705e-02, -1.23389903e-03
2.72772666e-02, -6.59263344e-04
2.91969627e-02, -4.42227611e-05
3.11166588e-02, 5.97476377e-04
3.30363549e-02, 1.25906779e-03
3.49560529e-02, 1.93037197e-03
3.68757509e-02, 2.60918960e-03
3.87954488e-02, 3.28486715e-03
4.07151468e-02, 3.95581080e-03
4.26348448e-02, 4.62397188e-03
4.45545428e-02, 5.27994055e-03
4.64742407e-02, 5.92506677e-03
4.83939387e-02, 6.56089839e-03
5.03136367e-02, 7.18339393e-03
5.22333346e-02, 7.79192057e-03
5.41530326e-02, 8.38443637e-03
5.60727306e-02, 8.96404125e-03
5.79924285e-02, 9.52793472e-03
5.99121265e-02, 1.00777885e-02
6.18318245e-02, 1.06106475e-02
6.37515187e-02, 1.11301495e-02
6.56712130e-02, 1.16337035e-02
6.75909072e-02, 1.21237878e-02
6.95106015e-02, 1.25983655e-02
7.14302957e-02, 1.30594978e-02
7.33499900e-02, 1.35068521e-02
7.52696842e-02, 1.39408316e-02
7.71893784e-02, 1.43620428e-02
7.91090727e-02, 1.47701316e-02
8.10287669e-02, 1.51666878e-02
8.29484612e-02, 1.55506488e-02
8.48681554e-02, 1.59239788e-02
8.67878497e-02, 1.62852909e-02
8.87075439e-02, 1.66368708e-02
9.06272382e-02, 1.69771425e-02
9.25469324e-02, 1.73083544e-02
9.44666266e-02, 1.76290926e-02
9.63863209e-02, 1.79411508e-02
9.83060151e-02, 1.82439052e-02
1.00225709e-01, 1.85382124e-02
1.02145404e-01, 1.88242272e-02
1.04065098e-01, 1.91020723e-02
1.05984792e-01, 1.93724930e-02
1.07904486e-01, 1.96350906e-02
1.09824181e-01, 1.98909752e-02
1.11743875e-01, 2.01394409e-02
1.13663569e-01, 2.03818008e-02
1.15583263e-01, 2.06171647e-02
1.17502958e-01, 2.08453778e-02
1.19422652e-01, 2.10688673e-02
1.21342346e-01, 2.12871432e-02
1.23262040e-01, 2.14994345e-02
1.25181735e-01, 2.17065141e-02
1.27101436e-01, 2.19083373e-02
1.29021138e-01, 2.21051406e-02
1.30940840e-01, 2.22972631e-02
1.32860541e-01, 2.24845763e-02
1.34780243e-01, 2.26676743e-02
1.36699945e-01, 2.28461735e-02
1.38619646e-01, 2.30208375e-02
1.40539348e-01, 2.31911596e-02
1.42459050e-01, 2.33579632e-02
1.44378752e-01, 2.35206634e-02
1.46298453e-01, 2.36800928e-02
1.48218155e-01, 2.38357391e-02
1.50137857e-01, 2.39882283e-02
1.52057558e-01, 2.41373423e-02
1.53977260e-01, 2.42833644e-02
1.55896962e-01, 2.44263746e-02
1.57816663e-01, 2.45663766e-02
1.59736365e-01, 2.47036722e-02
1.61656067e-01, 2.48380601e-02
1.63575768e-01, 2.49699932e-02
1.65495470e-01, 2.50991657e-02
1.67415172e-01, 2.52260789e-02
1.69334874e-01, 2.53503956e-02
1.71254575e-01, 2.54726242e-02
1.73174277e-01, 2.55923923e-02
1.75093979e-01, 2.57101953e-02
1.77013680e-01, 2.58257985e-02
1.78933382e-01, 2.59394702e-02
1.80853084e-01, 2.60511823e-02
1.82772785e-01, 2.61610076e-02
1.84692487e-01, 2.62690894e-02
1.86612189e-01, 2.63753310e-02
1.88531891e-01, 2.64799967e-02
1.90451592e-01, 2.65828744e-02
1.92371294e-01, 2.66842563e-02
1.94290996e-01, 2.67838873e-02
1.96210697e-01, 2.68819090e-02
1.98130399e-01, 2.69757695e-02
2.00050101e-01, 2.70795748e-02


